notes,objectid,parentid,identifier,title,interviewee,lastname,firstname,interviewer,duration,transcriber,description,object_transcript,subject,archival_date,date,location,latitude,longitude,source,finding_aid,filename,type,format,signed_release,restrictions,creator,language,related_items,rights,rightsstatement,youtubeid,display_template,object_location,image_small,image_thumb
needs transcript,hohp001,,,Antonio A. Aguilar,Antonio A. Aguilar,Aguilar,Antonio A.,Angela Luckey,,,Interview with Antonio A. Aguilar.,,immigration; armed forces; military service; ethnicity; group identity; Hispanic American;,23 April 1991,1991-04-23,"Inkom, Idaho",42.79619062,-112.253791,,,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-antonio-aguilar-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-antonio-aguilar-index_th.jpg
,hohp002,hohp001,mg491-1-1-antonio-aguilar-index,Antonio A. Aguilar Oral History Interview Summary Tape Index,Antonio A. Aguilar,Aguilar,Antonio A.,Angela Luckey,,,Interview summary,,immigration; armed forces; military service; ethnicity; group identity; Hispanic American;,23 April 1991,1991-04-23,"Inkom, Idaho",42.79619062,-112.253791,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327325,mg491-1-1-antonio-aguilar-index.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-antonio-aguilar-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-antonio-aguilar-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-antonio-aguilar-index_th.jpg
,hohp003,hohp001,mg491_t2_aguilarantonio,Antonio A. Aguilar Oral History Interview Audio,Antonio A. Aguilar,Aguilar,Antonio A.,Angela Luckey,2:08:08,,Audio of interview between Antonio Aguilar and Angela Luckey.,,Hispanic American; Spanish (language);,23 April 1991,1991-04-23,"Inkom, Idaho",42.79619062,-112.253791,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327326,mg491_t2_aguilarantonio.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t2_aguilarantonio.mp3,,
needs transcript,hohp004,,mg491_t4_2_barbosapablo,Pablo Barbosa Oral History Interview Audio,Pablo Barbosa,Barbosa,Pablo,Martha Torrez,0:54:23,,Audio of interview between Pablo Barbosa and Martha Torrez.,,Hispanic American; Spanish (language);,9 January 1991,1991-01-09,"Caldwell, Idaho",43.66248313,-116.6865017,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t4_2_barbosapablo.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t4_2_barbosapablo.mp3,,
,hohp005,,mg491_t5_delagarzasally,Celia Herrera (Sally) De La Garza,Celia Herrera (Sally) De La Garza,De La Garza,Celia (Sally) Herrera,Rosa Rodriguez,1:04:31,Transcribed by Otter.AI. Revised by Zoe Stave.,Interview with Celia Herrera (Sally) De La Garza,objects/mg491_t5_delagarzasally_revised.md,Mexican American; ethnicity; immigration; migrant workers; farming (activity or system); railroad builders; communities (social groups); health care; family life; education; armed forces; Hispanic American;,25 August 1991,1991-08-25,"Idaho Falls, Idaho",43.49206,-112.0398889,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t5_delagarzasally.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t5_delagarzasally.mp3,,
needs transcript,hohp006,,mg491_t6_garciafelicitas,Felicitas Garcia Oral History Interview Audio,Felicitas Garcia,Garcia,Felicitas,Martha Torrez,0:35:04,,Audio of interview between Felicitas Garcia and Martha Torrez.,,Hispanic American; Spanish (language);,19 October 1991,1991-10-19,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t6_garciafelicitas.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t6_garciafelicitas.mp3,,
needs transcript,hohp007,,mg491_t6_garciaoscar,Oscar Garcia Oral History Interview Audio,Oscar Garcia,Garcia,Oscar,Martha Torrez,1:41:07,,Audio of interview between Oscar Garcia and Martha Torrez.,,Hispanic American; Spanish (language); childhood; family life; immigration;,19 October 1991,1991-01-19,"Rupert, Idaho",42.61951081,-113.6764948,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t6_garciaoscar.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t6_garciaoscar.mp3,,
,hohp008,,,Juanita Huerta,Juanita Huerta,Huerta,Juanita,Angela Luckey,,,Interview with Juanita Huerta,,ethnicity; discrimination; racial discrimination; group identity; communities (social groups); Roman Catholicism; cooking; Hispanic American;,12 March 1991,1991-03-12,"Pocatello, Idaho",42.8615307,-112.4582449,,,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/juanita-zazueta-huerta-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/juanita-zazueta-huerta-portrait_th.jpg
,hohp009,hohp008,mg491-1-1-juanita-zazweta-huerta-index,Juanita Huerta Oral History Interview Summary Tape Index,Juanita Zazweta Huerta,Huerta,Juanita Zazweta,Angela Luckey,,,interview summary,,ethnicity; discrimination; racial discrimination; group identity; communities (social groups); Roman Catholicism; cooking; Hispanic American;,12 March 1991,1991-03-12,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-juanita-zazweta-huerta-index.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-juanita-zazweta-huerta-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-juanita-zazweta-huerta-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-juanita-zazweta-huerta-index_th.jpg
,hohp010,hohp008,mg491_t9_huertajuanita,Juanita Huerta Oral History Interview Audio,Juanita Huerta,Huerta,Juanita,Angela Luckey,1:34:41,Transcribed by Otter.AI. Revised by Zoe Stave.,Audio of interview between Juanita Zazweta Huerta and Angela Luckey.,objects/mg491_t9_huertajuanita_revised.md,Mexican American; family life; communities (social groups); immigration; migrant workers; railroad builders; farming (activity or system); ethnicity; education; marriage (social construct); dancing (activity); Hispanic American;,9 March 1991,1991-03-09,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t9_huertajuanita.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t9_huertajuanita.mp3,,
